vehicle_id,time_step,lane,position,velocity,lane_change_action
flow_1012.6,92,1,130.67321853797952,17.083010007762322,0
flow_1012.6,93,1,132.27707033922204,17.19395155705959,0
flow_1012.6,94,1,133.89069846024046,17.298757729614373,0
flow_1012.6,95,1,135.51352047627302,17.39732006895974,0
flow_1012.6,96,1,137.1449440495215,17.489532303264273,0
flow_1012.6,97,1,138.78436711223185,17.575290123395376,0
flow_1012.6,98,1,140.4311780257982,17.654490925882822,0
flow_1012.6,99,1,142.08475571284697,17.72703352325024,0
flow_1012.6,100,1,143.74446975953612,17.792817824712092,0
flow_1012.6,101,1,145.40968048563457,17.85174449076388,0
flow_1012.6,102,0,147.07973898032526,17.903714565723647,-1
flow_1012.6,103,0,148.75398710210297,17.948629092814272,0
flow_1012.6,104,0,150.43175744161636,17.986388716910216,0
